ind,user_id,date,yes_no,start_etime,end_etime,start_stime,end_stime,source,target,trip_time_sec,path
237,d374f1f860365cf0,02/04/2021,yes,1612445406287,1612445550199,2021-02-04 21:30:06,2021-02-04 21:32:30,L1_CP_zone_2,L1_Entrance_1,143,"['L1_CP_zone_2', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_Entrance_1']"
238,d437a505f3eb256d,02/22/2021,yes,1613950747442,1613950757670,2021-02-22 07:39:07,2021-02-22 07:39:17,L2_FC_zone_5,L2_FC_zone_2,10,"['L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_2', 'L2_FC_zone_3', 'L2_FC_zone_2']"
239,d437a505f3eb256d,02/22/2021,yes,1613951600767,1613951852601,2021-02-22 07:53:20,2021-02-22 07:57:32,L2_FC_zone_3,L2_FC_zone_8,251,"['L2_FC_zone_3', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L2_FC_zone_8']"
240,d437a505f3eb256d,02/22/2021,yes,1613952738568,1613952800960,2021-02-22 08:12:18,2021-02-22 08:13:20,L2_CLL,L2_FC_zone_7,62,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7']"
241,d437a505f3eb256d,02/22/2021,yes,1613956306651,1613958368923,2021-02-22 09:11:46,2021-02-22 09:46:08,L2_CLL,L2_FC_zone_5,2062,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5']"
242,d437a505f3eb256d,02/22/2021,yes,1613958707939,1613959347512,2021-02-22 09:51:47,2021-02-22 10:02:27,L2_FC_zone_8,L2_FC_zone_7,639,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7']"
243,d437a505f3eb256d,02/22/2021,yes,1613962692224,1613964878559,2021-02-22 10:58:12,2021-02-22 11:34:38,L2_FC_zone_5,L1_CP_zone_3,2186,"['L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_Fish_pond', 'L1_CP_zone_3']"
244,d437a505f3eb256d,02/22/2021,yes,1613967686276,1613967698894,2021-02-22 12:21:26,2021-02-22 12:21:38,L2_FC_zone_8,L2_FC_zone_4,12,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4']"
245,d437a505f3eb256d,02/22/2021,yes,1613970858913,1613971333356,2021-02-22 13:14:18,2021-02-22 13:22:13,L2_FC_zone_7,L1_Shop_walkway_2,474,"['L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_CLL', 'L2_CLL', 'L1_CLL', 'L1_Shop_walkway_2']"
246,d437a505f3eb256d,02/17/2021,yes,1613523602800,1613523772220,2021-02-17 09:00:02,2021-02-17 09:02:52,L2_FC_zone_8,L2_FC_zone_7,169,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7']"
247,d437a505f3eb256d,02/17/2021,yes,1613525361557,1613525365461,2021-02-17 09:29:21,2021-02-17 09:29:25,L2_FC_zone_8,L2_FC_zone_11,3,"['L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_FC_zone_9_walkway', 'L2_FC_zone_11']"
248,d437a505f3eb256d,02/17/2021,yes,1613530217279,1613532127798,2021-02-17 10:50:17,2021-02-17 11:22:07,L2_FC_zone_5,L2_FC_zone_1,1910,"['L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1']"
249,d437a505f3eb256d,02/26/2021,yes,1614293559152,1614293712118,2021-02-26 06:52:39,2021-02-26 06:55:12,L2_FC_zone_9,L2_FC_zone_1,152,"['L2_FC_zone_9', 'L2_FC_zone_8', 'L2_FC_zone_1']"
250,d437a505f3eb256d,02/26/2021,yes,1614297006307,1614297779942,2021-02-26 07:50:06,2021-02-26 08:02:59,L2_FC_zone_1,L2_FC_zone_5,773,"['L2_FC_zone_1', 'L2_FC_zone_2', 'L2_FC_zone_3', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5']"
251,d437a505f3eb256d,02/26/2021,yes,1614298965219,1614299117317,2021-02-26 08:22:45,2021-02-26 08:25:17,L2_FC_zone_7,L2_FC_zone_5,152,"['L2_FC_zone_7', 'L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5']"
252,d437a505f3eb256d,02/26/2021,yes,1614299810272,1614300376874,2021-02-26 08:36:50,2021-02-26 08:46:16,L2_CLL,L2_FC_zone_5,566,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5']"
253,d437a505f3eb256d,02/26/2021,yes,1614300690820,1614300992187,2021-02-26 08:51:30,2021-02-26 08:56:32,L2_CLL,L2_FC_zone_5,301,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5']"
254,d437a505f3eb256d,02/26/2021,yes,1614302555647,1614303863969,2021-02-26 09:22:35,2021-02-26 09:44:23,L2_CLL,L6_CCC_walkway,1308,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_SLL_corridor', 'L2_SLL', 'L6_SLL', 'L6_SLL_corridor', 'L6_CCC_walkway']"
255,d437a505f3eb256d,02/26/2021,yes,1614309252124,1614309893911,2021-02-26 11:14:12,2021-02-26 11:24:53,L2_FC_zone_8,L6_Deck_2,641,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_CP_zone_2', 'L1_CP_zone_3', 'L1_CP_zone_2', 'L1_Shop_walkway_1', 'L1_Shop_walkway_2', 'L1_Shop_walkway_3', 'L2_FC_zone_11', 'L2_FC_zone_9_walkway', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L1_Yassin_walkway', 'L1_Entrance_1_lobby', 'L1_R1_LL_walkway', 'L1_R1_LL', 'L4_R1_LL', 'L5_R1_LL', 'L6_R1_LL', 'L6_R1_LL_corridor', 'L6_Deck_2']"
256,d437a505f3eb256d,02/26/2021,yes,1614313093360,1614313228412,2021-02-26 12:18:13,2021-02-26 12:20:28,L2_FC_zone_8,L2_FC_zone_4,135,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4']"
257,d437a505f3eb256d,02/26/2021,yes,1614314193338,1614315293604,2021-02-26 12:36:33,2021-02-26 12:54:53,L2_FC_zone_8,L2_FC_zone_4,1100,"['L2_FC_zone_8', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4']"
258,d437a505f3eb256d,02/16/2021,yes,1613432281730,1613433934914,2021-02-16 07:38:01,2021-02-16 08:05:34,L2_FC_zone_2,L2_FC_zone_5,1653,"['L2_FC_zone_2', 'L2_FC_zone_1', 'L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5']"
259,d437a505f3eb256d,02/16/2021,yes,1613435276052,1613435300519,2021-02-16 08:27:56,2021-02-16 08:28:20,L2_FC_zone_8,L2_FC_zone_7,24,"['L2_FC_zone_8', 'L2_FC_zone_1', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_8_walkway', 'L2_FC_zone_7']"
260,d437a505f3eb256d,02/16/2021,yes,1613438818471,1613440539086,2021-02-16 09:26:58,2021-02-16 09:55:39,L2_CLL,L2_FC_zone_8,1720,"['L2_CLL', 'L2_FC_zone_8_walkway', 'L2_FC_zone_4', 'L2_FC_zone_5', 'L2_FC_zone_4', 'L2_FC_zone_1', 'L2_FC_zone_2', 'L2_FC_zone_1', 'L2_FC_zone_8']"
261,d437a505f3eb256d,02/16/2021,yes,1613443645529,1613444695112,2021-02-16 10:47:25,2021-02-16 11:04:55,L2_FC_zone_11,L2_FC_zone_8,1049,"['L2_FC_zone_11', 'L2_FC_zone_7', 'L2_FC_zone_8_walkway', 'L2_FC_zone_8']"
