,Unnamed: 0,Unnamed: 0.1,Unique ID,Macaddress,Temperature,Light,packets,namespace,txPower,interval,batteryLevel,Floor,location_id,zone_predicted,zone_to_use,zone_truth,N_True,N_False,N_total,N_false/N_total,node_or_neighbor,node_or_neighbor/N_total
82,82,12,su9Hog,D6:EC:79:AA:BE,21,25,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00803,1,350,100,8,3,L8_ELL,L8_ELL,"{'L8_ELL_corridor': 4, 'L8_ELL': 26}",26,4,30,0.133333333,30,1
83,83,106,suzRZm,DA:03:3B:B7:C7,22,7,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00804,1,350,100,8,4,L8_CG_steps_entrance,L8_CG_steps_entrance,"{'L8_CG_steps_entrance': 24, 'L8_RG_zone_2': 2}",24,2,26,0.076923077,26,1
84,84,28,suHuRP,F4:65:79:BC:5F,24,18,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00805,1,350,100,8,5,,L8_R1_LL,,0,0,0,,0,
85,85,43,suTNYT,F8:CD:AE:9E:8F,21,5,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00806,1,350,100,8,6,,L8_R2_LL,,0,0,0,,0,
86,86,115,VuVWvo,F4:B9:B4:8A:75,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00807,3,350,100,8,7,L8_RG_zone_1,L8_RG_zone_1,"{'L9_CG_steps_zone_4': 1, 'L8_CLL': 1, 'L8_RG_zone_1': 35, 'L8_SLL_corridor': 9, 'L8_RG_zone_2': 2}",35,13,48,0.270833333,47,0.979166667
87,87,119,VuAJhM,D8:FB:04:51:AC,,,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00808,3,350,100,8,8,L8_RG_zone_2,L8_RG_zone_2,"{'L8_RG_zone_2': 23, 'L8_CG_steps_entrance': 4}",23,4,27,0.148148148,27,1
88,88,87,suqhle,E1:18:16:88:7D,21,15,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00901,1,350,100,9,1,L9_SLL,L9_SLL,"{'L9_SLL': 40, 'L9_SLL_corridor': 2}",40,2,42,0.047619048,42,1
89,89,66,sugwWn,FD:DA:79:DF:F7,20,3,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00902,1,350,100,9,2,L9_CG_sitting_area,L9_CG_sitting_area,{'L9_CG_sitting_area': 17},17,0,17,0,17,1
90,90,54,suZaHl,C5:4E:E6:71:39,20,0,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00903,1,350,100,9,3,L9_CG_garden_zone_1,L9_CG_garden_zone_1,"{'L9_CG_garden_zone_1': 26, 'L9_CG_garden_zone_2': 4}",26,4,30,0.133333333,30,1
91,91,14,su9hc9,ED:DB:94:34:98,20,24,"EDDYSTONE_UID,KONTAKT,KONTAKT_TLM",f7826da6bc5b71e00904,1,350,100,9,4,L9_CG_entrance,L9_CG_entrance,"{'L9_CG_entrance': 24, 'L9_CG_garden_zone_1': 7, 'L9_CG_garden_zone_2': 5}",24,12,36,0.333333333,31,0.861111111
